Code,Description
XaIB5,Black Caribbean and White
XaJQy,White and Black Caribbean - ethnic category 2001 census
XactL,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census
XacuS,Mixed: White and Black Caribbean - NI ethnic cat 2011 census
134L.,Race: Afro-caucasian
XaIB6,Black African and White
XaJQz,White and Black African - ethnic category 2001 census
Xactd,Mixed: White+Black African - Eng+Wales eth cat 2011 census
XacuT,Mixed: White and Black African - NI ethnic cat 2011 census
9SB2.,"Other ethnic, Asian/White orig"
XaJR0,White and Asian - ethnic category 2001 census
Xacte,Mixed: White+Asian - Eng+Wales ethnic category 2011 census
XacuU,Mixed: White and Asian - NI ethnic category 2011 census
134J.,Race: Mixed
9S5..,"Black - other, mixed"
9S5..,"Black - other, mixed"
9S51.,Other Black - Black/White orig
9S51.,Other Black - Black/White orig
9S52.,Other Black - Black/Asian orig
9S52.,Other Black - Black/Asian orig
9SB..,"Other ethnic, mixed origin"
9SB1.,"Other ethnic, Black/White orig"
9SB3.,"Other ethnic, mixed white orig"
9SB4.,"Other ethnic, other mixed orig"
XaFwG,Mixed ethnic census group
XaJR1,Other Mixed background - ethnic category 2001 census
XaJRH,Black and Asian - ethnic category 2001 census
XaJRI,Black and Chinese - ethnic category 2001 census
XaJRJ,Black and White - ethnic category 2001 census
XaJRK,Chinese and White - ethnic category 2001 census
XaJRL,Asian and Chinese - ethnic category 2001 census
XaJRM,Other Mixed or Mixed unspecified ethnic category 2001 census
XaJRN,Mixed Asian - ethnic category 2001 census
XaJRY,Mixed Black - ethnic category 2001 census
Xactf,Mixed: other Mixed/multiple backgrd - Eng+Wales 2011 census
Xacua,Mixed: other Mixed/multiple ethnic backgrd - NI 2011 census
Xacuz,Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census
